image_name,image_idx,a,b,mse_err
D:/fivekdataset_big/input/train/a0129-kme_532.tif,128,1.9384078500427504,0.21367355785425185,0.012746447281720174
D:/fivekdataset_big/input/train/a0130-kme_494.tif,129,2.8825197833855456,0.17597337726353324,0.010528038056740359
D:/fivekdataset_big/input/train/a0131-050801_142414__I2E5524.tif,130,1.9435911450843326,0.17925692035249807,0.009358704628497133
D:/fivekdataset_big/input/train/a0132-tc_DSC2376.tif,131,2.2590331679252666,0.12636742297801717,0.00811665265933611
D:/fivekdataset_big/input/train/a0133-050724_185320__I2E5160.tif,132,1.857816707012048,0.17524798149887577,0.011071664861937908
D:/fivekdataset_big/input/train/a0134-LS051025_day_2_LL003.tif,133,2.189356235871467,0.11169796754886915,0.01917032063567122
D:/fivekdataset_big/input/train/a0135-IMG_2595.tif,134,1.9695463072774857,0.2256458681200781,0.012537883111783332
D:/fivekdataset_big/input/train/a0136-CRW_0157.tif,135,2.6692667990000554,0.18370821117541966,0.018998308793050804
D:/fivekdataset_big/input/train/a0137-IMG_4565.tif,136,1.645388043598902,0.15640373049107834,0.015508058280055107
D:/fivekdataset_big/input/train/a0138-_DSC2986.tif,137,2.0034902198951,0.15947701186193974,0.010948624464027898
D:/fivekdataset_big/input/train/a0139-060526_142248__MG_8130.tif,138,1.8943476923988658,0.18210774362507326,0.009707664613044897
D:/fivekdataset_big/input/train/a0140-jmac_DSC3242.tif,139,1.9401868285600516,0.10605894801032204,0.012626603596339154
D:/fivekdataset_big/input/train/a0141-IMG_3342.tif,140,2.4645025274155157,0.14072205681560065,0.00818206698381661
D:/fivekdataset_big/input/train/a0142-IMG_2048.tif,141,1.8195306126422885,0.12085755525798043,0.010621908424527135
D:/fivekdataset_big/input/train/a0143-kme_060.tif,142,2.360880869927689,0.17609499491075764,0.006153747667219742
D:/fivekdataset_big/input/train/a0144-07-11-20-at-16h38m08s-_MG_5725.tif,143,1.9395278350467906,0.15735708552357192,0.00847675136736016
D:/fivekdataset_big/input/train/a0145-DSC_0009-1.tif,144,1.9470575107345434,0.20897497910471327,0.014702669329560492
D:/fivekdataset_big/input/train/a0146-07-11-23-at-10h54m29s-_MG_6544.tif,145,1.91485992609194,0.26372022027284875,0.007172284340560634
D:/fivekdataset_big/input/train/a0147-kme_333.tif,146,1.8829206814505153,0.1897467951649503,0.00895971985715659
D:/fivekdataset_big/input/train/a0148-07-07-16-at-23h50m49s-_MG_2214.tif,147,2.0681481840985483,0.1430392016637904,0.012053779051404319
D:/fivekdataset_big/input/train/a0149-tc_DSC3938.tif,148,2.286816065222282,0.09763178351296345,0.015971127355824902
D:/fivekdataset_big/input/train/a0150-_DSC0064.tif,149,2.1893003047719857,0.14059431855949495,0.005431435942612309
D:/fivekdataset_big/input/train/a0151-JI2E3955.tif,150,1.481515380292253,0.2640293375156961,0.02245258189396938
D:/fivekdataset_big/input/train/a0152-IMG_2713.tif,151,2.538704882671033,0.15270563475611812,0.007575253612926827
D:/fivekdataset_big/input/train/a0153-kme_560.tif,152,1.8942865848413517,0.1974313927223073,0.009374633914606212
D:/fivekdataset_big/input/train/a0154-IMG_4393.tif,153,1.699173778270516,0.1853068220438067,0.02295580552776676
D:/fivekdataset_big/input/train/a0155-kme_116.tif,154,1.8806394074863853,0.1980450635946526,0.010003417594356745
D:/fivekdataset_big/input/train/a0156-_DSC0008.tif,155,2.1966625226684853,0.13309939720493838,0.010204821351089766
D:/fivekdataset_big/input/train/a0157-DSC_0011-1.tif,156,2.78074175760261,0.14535423720267632,0.006857000602782745
D:/fivekdataset_big/input/train/a0158-051124_163114__I2E9732.tif,157,1.9927493974229578,0.17999991995133618,0.011160678100129355
D:/fivekdataset_big/input/train/a0159-20061222_130937__E6B6186.tif,158,2.3533971438197403,0.2503662099115835,0.003161974331312125
D:/fivekdataset_big/input/train/a0160-_DSC0023.tif,159,2.4363185813729196,0.1514375150874177,0.012343784262321213
D:/fivekdataset_big/input/train/a0161-_DSC0022.tif,160,2.5293863089734043,0.12607577703881356,0.011600237141580467
D:/fivekdataset_big/input/train/a0162-WP_CRW_0271.tif,161,1.7629370611205728,0.18832781585233543,0.008676085117109614
D:/fivekdataset_big/input/train/a0163-WP_CRW_0638.tif,162,1.6120911049059463,0.1401908403171285,0.012924484500407549
D:/fivekdataset_big/input/train/a0164-kme_446.tif,163,2.5397919336237016,0.16196733881813496,0.0103372578265951
D:/fivekdataset_big/input/train/a0165-_MG_1166.tif,164,1.5585606715719498,0.14399399085816003,0.015395997745780852
D:/fivekdataset_big/input/train/a0166-kme_509.tif,165,2.027199444423165,0.11973050193610833,0.009548785645859297
D:/fivekdataset_big/input/train/a0167-JI2E5064.tif,166,1.7536306156928567,0.17714566809113713,0.018555825495584984
D:/fivekdataset_big/input/train/a0168-LSCRW_2102.tif,167,1.9363362582497765,0.1652324998111223,0.00829074533438719
D:/fivekdataset_big/input/train/a0169-jn_20081025_Kent_Shelter_168.tif,168,2.0327801408618833,0.1221443317059896,0.011551183091792856
